time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-6-30-9-51-48-323382,,0.000000,0.000000,0.000000,-0.041269,0.044378,0.938468,0.008211,-0.000989,-0.118553,-6.650592,-4.252357,12.784859,995.093711,31.210000,150.193584,47.461914 
2019-6-30-9-51-48-423645,,0.000000,0.000000,0.000000,-0.025696,0.030063,0.935470,0.005571,0.000647,-0.022089,-6.893784,-4.762794,12.950911,995.093711,31.210000,150.193584,47.461914 
2019-6-30-9-51-48-524365,,0.000000,0.000000,0.000000,-0.012848,0.017715,0.943540,0.004127,-0.000867,0.010239,-6.917639,-4.105184,12.440735,995.093711,31.210000,150.193584,47.461914 
2019-6-30-9-51-48-624691,,0.000000,0.000000,0.000000,-0.009733,0.017179,0.936623,0.002545,-0.001256,0.010229,-6.608459,-5.029289,12.605814,995.093711,31.210000,150.193584,47.461914 
2019-6-30-9-51-48-733915,,0.000000,0.000000,0.000000,-0.009733,0.018073,0.939621,0.002953,-0.000621,0.006589,-7.239892,-5.277383,11.783447,995.093711,31.210000,150.193584,47.461914 
2019-6-30-9-51-48-834649,,0.000000,0.000000,0.000000,-0.010317,0.018431,0.932473,0.002128,0.001530,0.006659,-6.680890,-4.082240,10.612217,995.058203,31.200000,150.493581,46.498047 
2019-6-30-9-51-48-935371,,0.000000,0.000000,0.000000,-0.009539,0.018252,0.935009,0.001093,0.000370,0.004781,-6.250026,-4.765481,11.074669,995.058203,31.200000,150.493581,46.498047 
2019-6-30-9-51-49-54373,,0.000000,0.000000,0.000000,-0.007787,0.017358,0.939390,0.000239,-0.000761,0.002108,-6.528234,-4.308540,10.784540,995.058203,31.200000,150.493581,46.498047 
2019-6-30-9-51-49-154931,,0.000000,0.000000,0.000000,-0.011875,0.018252,0.944232,0.000540,0.000937,0.004344,-6.474228,-3.954768,11.353308,995.058203,31.200000,150.493581,46.498047 
2019-6-30-9-51-49-258869,,0.000000,0.000000,0.000000,-0.010123,0.018610,0.937315,0.001941,-0.001567,0.002772,-6.646506,-3.887783,10.979001,995.058203,31.200000,150.493581,46.498047 
2019-6-30-9-51-49-359891,,0.000000,0.000000,0.000000,-0.010901,0.018252,0.939621,0.000250,0.000036,0.003408,-6.069546,-4.212845,10.866712,995.066719,31.210000,150.421634,46.206055 
2019-6-30-9-51-49-473886,,0.000000,0.000000,0.000000,-0.009928,0.018073,0.939851,0.000526,0.000606,0.002068,-6.217782,-4.800900,10.767727,995.066719,31.210000,150.421634,46.206055 
2019-6-30-9-51-49-574297,,0.000000,0.000000,0.000000,-0.011680,0.018073,0.941235,0.000516,-0.000001,0.002137,-5.770548,-4.800239,11.329327,995.066719,31.210000,150.421634,46.206055 
2019-6-30-9-51-49-676575,,0.000000,0.000000,0.000000,-0.011875,0.017179,0.939159,-0.001029,-0.001034,0.001705,-5.832109,-4.001261,10.919162,995.066719,31.210000,150.421634,46.206055 
2019-6-30-9-51-49-777010,,0.000000,0.000000,0.000000,-0.011096,0.020758,0.942388,0.000577,0.000581,0.000411,-5.695900,-4.570632,11.422598,995.066719,31.210000,150.421634,46.206055 
2019-6-30-9-51-49-881706,,0.000000,0.000000,0.000000,-0.011485,0.018252,0.939621,-0.000505,-0.000372,0.000193,-6.367338,-5.057987,12.179453,995.047969,31.210000,150.580050,46.633789 
2019-6-30-9-51-49-982601,,0.000000,0.000000,0.000000,-0.011096,0.017894,0.940773,-0.000516,0.001636,0.002010,-6.430620,-4.094326,11.521664,995.047969,31.210000,150.580050,46.633789 
